"label","title","year","author","doi"
"retracted","Corynebacterium urinapleomorphum sp. nov., a new bacterial species isolated from human urine sample","2019","El Hadj Amadou Niang;Cheikh Ibrahima Lo;Aurelie Morand;Sokhna Ndongo;Didier A Raoult;Pierre Édouard Fournier;Florence Fénollar","10.1016/j.nmni.2019.100576"
"retracted","Detection and Analysis of Man-Machine Interactive Software Vulnerabilities Based on Ultrasonic Data Acquisition and Signal Processing Algorithms","2021","Lei Zhao","10.1155/2021/7684146"
"retracted","Application of Customer Relationship Management System in Vehicle Service Stations","2018","Dmitry Alekseevich (ДМИТРИЙ АЛЕКСЕЕВИЧ) Shorokhov (ШОРОХОВ)","Unavailable"
"retracted","The Antecedents of Organizational Cronyism","2009","Yan Yang;Bei Hu","10.1109/ICMSS.2009.5304810"
"retracted","The Concentration and Difference of Shipbuilding Industry in the Yangtze River Economic Belt","2021","Chen Li;Xiaoping Xu","10.1145/3465631.3465659"
"retracted","Baicalin relieves hypoxia-aroused H9c2 cell apoptosis by activating Nrf2/HO-1-mediated HIF1α/BNIP3 pathway","2019","Hailiang Yu;Bin Chen;Qi Ren","10.1080/21691401.2019.1657879"
"retracted","Study on the historical path of urbanization and ecological environment coupling","2011","Xiao hong Chen;Wan he Lu;Xue lan Tan","10.1109/ICETCE.2011.5775822"
"retracted","Creep Deformation of Zr55Co25Al15Ni5 Bulk Metallic Glass Near Glass Transition Temperature: A Nanoindentation Study","2021","Agus Dwi Anggono;Marischa Elveny;Walid Kamal Abdelbasset;Aleksandr Mikhailovich Petrov;Kirill Aleksandrovich Ershov;Yu Zhu;Akhat Yunusov;Supat Chupradit;Yasser Fakri Mustafa;Aravindhan Surendar","10.1007/s12666-021-02455-8"
"retracted","Processing, microstructure and mechanical properties of TiC–465 stainless steel/465 stainless steel layer composites","2006","Farid Akhtar;S J Askari;J A Shah;Shiju Guo","10.1016/j.jallcom.2006.08.073"
"retracted","Analysis of logistics port transportation efficiency evaluation based on the block chain technology","2021","Xu Xu;Yanbin Yang","10.1007/s10479-021-04379-4"
"retracted","Mdm2 directs the ubiquitination of β-arrestin-sequestered cAMP phosphodiesterase-4D5","2009","Xiang Li;George S Baillie;Miles D Houslay","10.1074/jbc.M109.008078"
"retracted","Human induced pluripotent stem cell-derived platelets loaded with lapatinib effectively target HER2+ breast cancer metastasis to the brain","2021","Arunoday Bhan;Khairul Ansari;Mike Y Chen;Rahul Jandial","10.1038/s41598-021-96351-2"
"retracted","Joint Contributions for Force Dissipation During Landings in Athletes with Patellar Tendinopathy","2020","Rodrigo Scattone Silva;Theresa H Nakagawa;Ana L Granado Ferreira;Fábio V Serrão","10.1016/j.ptsp.2020.04.011"
"retracted","A content recommendation system for e-learning using enhanced Harris Hawks Optimization, Cuckoo search and DSSM","2023","N K Manikandan;M Kavitha","10.3233/jifs-213422"
"retracted","Correlation Meta-Analysis of the Efficacy of Inhaled Corticosteroids in Children with Asthma Based on Smart Medical Health","2022","Yu Qin;Jing Wang;Jingmin Qin;Ning Yang;Sha Li;Lijia Xu;Yanjun Han","10.1155/2022/6220774"
"retracted","Application of Big Data and Internet of Things Technology in the Management of Financial Operating Income of Electric Power Enterprises","2022","Huiling Su","10.1155/2022/6167479"
"retracted","MicroRNA‑454 inhibits non‑small cell lung cancer cells growth and metastasis via targeting signal transducer and activator of transcription‑3","2017","Shuliang Liu;Xingping Ge;Lingfei Su;Aifeng Zhang;Xuri Mou","10.3892/mmr.2017.8350"
"retracted","A Decision-Making Framework for University Student Sports Study Psychological Healthy Evaluation with 2-Tuple Linguistic Neutrosophic Numbers","2022","Xiaoping Yang;Wensheng Shi","10.1155/2022/2182207"
"retracted","The relationship between Athletic Achievement Motivation, Coping strategies and pre-competition emotions of athletes of aerobics","2011","Lihong Xie;Xiaowang Yin","10.1109/PACCS.2011.5990348"
"retracted","Schlieren imaging for the visualization of particles entrapped in bubble films","2020","Jeeyoon Kim;Seunghyeon Lee;Young Soo Joung","10.1016/j.jcis.2020.02.085"
"retracted","Dynamics of Electoral Behavior of Youth in the Russian Province Under Conditions of Socio-Economic Instability","2016","Anatoly Valentinovich (Анатолий Валентинович) Mochalin (Мочалин)","Unavailable"
"retracted","HPV-16 Expression and Loss of Cell Differentiation in Primary Bladder Tumors","2022","Lei Pang;Zijun Ding;Fei Li;Hongqiang Chai;Ming Wu;Jinkai Shao","10.1155/2022/6565620"
"retracted","Giant Traumatic Diaphragmatic Hernia: A Report of Delayed Presentation","2021","Abbas H Alsuwayj;Ali H Al Nasser;Abdulaziz M Al Dehailan;Abdullah Z Alburayman;Khalid A Alhuwaiji;Khurayzan F Binsifran;Ibrahim M Almulhim;Abdullah F Almulhim;Mohammed A Al Amer;Mohannad A Almulhim;Abdullatif Y Almulhim;Abdullah A Almulhim;Insaf A Alhazoom;Ahmed A Albakheet;Faisal Al-Hawaj","10.7759/cureus.20315"
"retracted","Structural equation model analysis of information systems in cooperative organizations: focusing the role of cooperative experience and information process mechanism","2018","Qi Yue;Xing Hua;Mei Quan","10.1007/s10257-018-0387-x"
"retracted","Effectiveness and Issues of Multisensory Environment Utilization in Special Needs Education Practice","2019","Ken Fujisawa;Fukuko Hayashi","10.9748/hcs.2019.806"
"retracted","Inhaltsübersicht [Table of Contents]","2015","Graham Jefcoate","10.1515/9783110355062.toc"
"retracted","Spatiotemporal Variation of Surface Sediment Quality in the Xiamen Sea Area, China","2022","Shifeng Fu;Haiyan Wu;Hongzhe Chen;Xiaoqiong Cai;Xiang Pan;Yibiao Wu","10.1155/2022/4950588"
"retracted","Medical Image Captioning Using Optimized Deep Learning Model","2022","Arjun Singh;Jaya Krishna Raguru;Gaurav Prasad;Surbhi Chauhan;Pradeep Kumar Tiwari;Atef Zaguia;Mohammad Aman Ullah","10.1155/2022/9638438"
"retracted","Norelgestromin/ethinyl estradiol transdermal system","2005","S Taneepanichskul","unavailable"
"retracted","The Parenteral Vitamin C Improves Sepsis and Sepsis-Induced Multiple Organ Dysfunction Syndrome via Preventing Cellular Immunosuppression","2017","Yu Lei Gao;Bin Lu;Jian Hua Zhai;Yan Cun Liu;Hai Xia Qi;Ying Yao;Yan Fen Chai;Song Tao Shou","10.1155/2017/4024672"
